employee_id,training_date,training_program_name,training_type,training_outcome,location,trainer,training_duration_days,training_cost
1563,2022-12-09,Leadership Development,External,Incomplete,Grantton,Laura Harper,3,721.86
1564,2023-04-20,Communication Skills,External,Completed,Mannton,Larry Johnson,4,430.3
1565,2022-12-03,Customer Service,Internal,Completed,New Taylorhaven,Heather Jones,3,337.52
1566,2023-05-05,Communication Skills,Internal,Failed,East Matthew,Mrs. Jordan Lee,1,692.71
1567,2023-05-13,Project Management,External,Failed,Nicoleborough,Debra Bailey,1,177.99
1568,2023-04-07,Communication Skills,External,Incomplete,Riddleland,Maria Ramos,5,586.71
1569,2023-03-20,Customer Service,Internal,Completed,West Patrickmouth,Brian Fitzpatrick,2,771.98
1570,2023-03-28,Project Management,Internal,Passed,West Chelseastad,Christopher Davidson,4,121.88
1571,2023-03-15,Project Management,External,Completed,Hillstad,Jennifer Gonzales,2,379.68
1572,2022-10-08,Customer Service,Internal,Completed,Adammouth,Douglas Greer,2,738.65
1573,2022-12-15,Technical Skills,External,Incomplete,Khanberg,Douglas Johnson,2,159.42
1574,2023-06-23,Communication Skills,Internal,Passed,South Andrew,Timothy Wood,1,689.76
1575,2023-04-14,Leadership Development,Internal,Incomplete,Torresbury,Lisa Harris,5,981.36
1576,2023-07-06,Communication Skills,Internal,Completed,Jessicaview,Patricia Daugherty,4,104.34
1577,2022-10-26,Customer Service,External,Failed,Lake Billy,Katherine Ward,5,413.08
1578,2022-12-29,Technical Skills,External,Incomplete,Lake Susanmouth,Brandon Booker,1,856.71
1579,2022-10-20,Communication Skills,Internal,Passed,Port Stevenside,Ashley Brown,5,322.3
1580,2023-03-29,Project Management,Internal,Passed,Garciafurt,Julie James,3,527.93
1581,2023-01-10,Project Management,External,Failed,Port Kellyside,Lindsay Allison,2,480.2
1582,2022-11-01,Leadership Development,Internal,Completed,West Adam,Nicole Thompson,5,323.79
1583,2023-06-18,Leadership Development,External,Failed,East Ronniehaven,Blake Miller,3,184.66
1584,2023-05-10,Leadership Development,External,Passed,South Kristaborough,Thomas Ware,4,265.22
1585,2023-02-06,Technical Skills,External,Incomplete,Kellybury,Lauren Rogers PhD,5,843.28
1586,2022-12-06,Communication Skills,Internal,Passed,North Megan,Johnny Moore,3,643.9
1587,2023-03-10,Customer Service,Internal,Completed,Alvarezshire,Daniel Perez,4,876.73
1588,2022-11-08,Leadership Development,Internal,Failed,East Douglasport,Christopher Hayes,1,293.85
1589,2022-10-22,Project Management,Internal,Incomplete,Port Ronnie,Robert Jones,4,328.06
1590,2023-03-16,Leadership Development,Internal,Failed,Sarahbury,Jordan Jarvis,2,187.35
1591,2023-06-09,Leadership Development,Internal,Passed,Port Linda,Karen Gonzalez,5,340.01
1592,2023-06-20,Communication Skills,Internal,Incomplete,Leblancville,Donald Rogers,1,590.82
1593,2023-05-08,Leadership Development,External,Failed,Debbiemouth,Pamela Sharp,1,321.08
1594,2023-04-04,Communication Skills,External,Failed,New Tinafurt,Jessica King,1,684.45
1595,2023-05-07,Leadership Development,External,Passed,Gallagherstad,Pamela Hernandez,4,571.48
1596,2023-02-03,Project Management,Internal,Incomplete,Franklinstad,Misty Burns,4,683.34
1597,2023-07-07,Customer Service,Internal,Incomplete,Lake Charles,Richard Owen,2,865.57
1598,2023-06-17,Technical Skills,Internal,Incomplete,New Jenniferburgh,Daniel Barnes,2,130.29
1599,2023-05-17,Leadership Development,External,Passed,Shawnport,Alexandra Lin,2,848.72
1600,2022-08-15,Project Management,Internal,Passed,Jorgemouth,Katherine Ramos,5,851.93
1601,2023-05-20,Technical Skills,Internal,Incomplete,New Shannontown,Anthony King,4,381.09
1602,2023-04-23,Project Management,External,Incomplete,Munozborough,Reginald Turner,4,175.5
1603,2023-03-11,Communication Skills,External,Completed,Port Sabrinaton,Steven Larson,2,784.15
1604,2023-02-08,Communication Skills,External,Passed,New Ashley,Jason Williams,3,999.97
1605,2023-04-08,Customer Service,Internal,Passed,Beckerside,Shane Weaver,5,878.65
1606,2022-09-26,Project Management,Internal,Completed,Petermouth,Teresa Dickerson PhD,5,937.89
1607,2022-11-30,Customer Service,External,Completed,West Jamesshire,Pamela Stevens,3,961.1
1608,2022-11-06,Customer Service,Internal,Incomplete,North Stephenfurt,Lynn Duncan,1,820.96
1609,2023-04-22,Project Management,Internal,Failed,New Jennifer,Emily Fisher,3,455.52
1610,2023-03-29,Communication Skills,External,Completed,North Erin,Francisco Hines,4,815.24
1611,2022-10-01,Leadership Development,External,Failed,North Debra,Laura Jones,5,534.82
1612,2023-01-25,Technical Skills,External,Incomplete,Lake Brentbury,Brad King,4,522.79
1613,2023-01-28,Leadership Development,Internal,Completed,Lake Charlesberg,Justin Rivera,1,868.8
1614,2023-07-22,Communication Skills,External,Passed,Kennethstad,Tammy Paul,1,808.85
1615,2022-08-31,Technical Skills,Internal,Passed,Marystad,Sabrina Hicks,1,874.1
1616,2023-07-18,Leadership Development,External,Completed,Michelleborough,Mark Cisneros,2,206.73
1617,2023-02-06,Leadership Development,Internal,Completed,New Hannah,George Stevenson,3,586.5
1618,2023-04-24,Leadership Development,Internal,Passed,East Stephenfurt,Rose Ortega DDS,2,779.69
1619,2022-11-07,Technical Skills,Internal,Incomplete,Port Courtneymouth,Willie Roth,4,506.99
1620,2023-01-18,Project Management,External,Completed,Bakerberg,Michael Lee,5,986.14
1621,2022-10-03,Technical Skills,Internal,Completed,Pattersonmouth,Scott Calhoun,2,264.74
1622,2022-12-17,Communication Skills,Internal,Passed,Port Jonathanburgh,Jason Martinez,4,344.06
1623,2022-11-26,Project Management,Internal,Passed,Lloydfurt,Matthew Nelson,3,232.5
1624,2023-04-21,Customer Service,Internal,Failed,Katherineland,Brittney Chapman,1,953.68
1625,2022-11-15,Project Management,External,Passed,East Danielport,David Wood,5,101.56
1626,2023-05-05,Project Management,Internal,Failed,Austinville,Ryan Morris,3,624.8
1627,2022-12-05,Project Management,Internal,Completed,South Emmaport,Brenda Richardson,5,943.93
1628,2023-05-20,Customer Service,Internal,Completed,Port Nicholasburgh,Kimberly Owens,1,781.52
1629,2023-07-18,Leadership Development,Internal,Failed,East Kevinstad,Jason Moore,2,615.28
1630,2023-03-26,Customer Service,External,Incomplete,South Matthew,Ann Wright,4,779.26
1631,2023-01-14,Customer Service,External,Incomplete,Larryshire,Marissa Mcintyre,1,464.49
1632,2023-03-26,Leadership Development,External,Completed,Deniseshire,Jim Adams,4,196.31
1633,2022-10-09,Project Management,External,Passed,East Allison,Daniel Benitez,3,300.12
1634,2023-03-26,Communication Skills,External,Failed,Donnaport,Amber Waters,3,895.42
1635,2023-05-15,Leadership Development,External,Completed,Port Mark,Christina Moore,3,619.86
1636,2022-08-31,Technical Skills,External,Completed,South Sarah,Matthew Benson,1,943.84
1637,2022-10-04,Customer Service,External,Failed,Onealshire,Daniel Taylor,5,556.33
1638,2022-12-27,Customer Service,External,Completed,North James,Theodore Torres,4,274.97
1639,2023-01-21,Communication Skills,Internal,Completed,West Tonyfurt,James Wagner,5,359.87
1640,2023-02-01,Communication Skills,Internal,Completed,Port Heather,Jennifer Bell,1,881.51
1641,2022-12-22,Project Management,External,Passed,Tylermouth,Bradley Warner,5,879.86
1642,2023-07-18,Customer Service,External,Passed,Lake Andrea,Joseph Steele,3,226.92
1643,2023-07-13,Technical Skills,External,Completed,Farleychester,Linda Strong,3,674.14
1644,2022-12-13,Customer Service,External,Failed,East Victoria,Lindsay Parker,4,383.95
1645,2022-08-12,Technical Skills,External,Completed,New Jeffrey,Nicole Horn,1,122.81
1646,2022-08-07,Customer Service,Internal,Completed,North Robertville,Joseph Hill,5,380.22
1647,2022-09-15,Communication Skills,External,Passed,Lancemouth,Melissa Wood,5,719.1
1648,2023-01-11,Project Management,External,Passed,West Dawntown,Kevin Palmer,1,699.81
1649,2022-11-24,Leadership Development,Internal,Passed,New David,Lisa Kennedy MD,5,452.38
1650,2022-10-08,Leadership Development,Internal,Completed,Robertfort,Angela Lewis,3,727.36
1651,2022-12-20,Customer Service,Internal,Passed,Danieltown,Leslie Howell,5,595.83
1652,2022-12-09,Leadership Development,Internal,Completed,Pageport,John Watson,4,740.51
1653,2023-07-24,Technical Skills,External,Incomplete,Jasonport,Tammy Gaines,1,886.01
1654,2023-05-01,Technical Skills,External,Failed,Michaelshire,George Morris,2,641.09
1655,2023-06-15,Communication Skills,Internal,Completed,Garciafurt,Candice Williams,5,780.94
1656,2023-03-19,Leadership Development,Internal,Completed,North Amanda,Christopher Drake,3,132.75
1657,2022-10-01,Technical Skills,Internal,Passed,South Danny,Robert Bartlett,1,838.52
1658,2023-06-06,Project Management,External,Failed,Morrisburgh,Bradley Walker,4,474.23
1659,2023-05-23,Leadership Development,Internal,Incomplete,Briggsport,Christine Rollins,1,579.06
1660,2023-07-25,Communication Skills,Internal,Failed,Lake Angela,Paula Choi,5,698.82
1661,2023-07-20,Technical Skills,Internal,Failed,New Nathan,Justin Thompson,5,633.36
1662,2023-02-18,Technical Skills,Internal,Failed,Wilsonborough,Diane Lam,3,241.19
1663,2023-07-13,Communication Skills,External,Passed,New Elizabeth,Dustin Alexander,5,271.37
1664,2023-07-08,Project Management,Internal,Incomplete,East Jimmy,Christopher Smith,1,137.87
1665,2022-11-15,Project Management,Internal,Passed,Herreraland,Dr. Christina Johnson,3,999.83
1666,2023-02-21,Technical Skills,Internal,Failed,New Paula,Kristin Scott,5,597.62
1667,2022-09-11,Leadership Development,External,Completed,Munozstad,Thomas Schmitt,1,697.89
1668,2023-06-23,Customer Service,External,Failed,Lake Melanie,Jocelyn Lee,5,673.27
1669,2023-01-10,Project Management,External,Passed,Danielport,Ronald Shaw,5,753.01
1670,2023-02-01,Leadership Development,Internal,Failed,Aaronstad,Jamie Riley,5,939.02
1671,2022-11-15,Customer Service,External,Passed,East Jeremy,Stacey Sparks,2,680.45
1672,2022-09-14,Technical Skills,External,Completed,Jacksonmouth,Todd Shea,3,263.8
1673,2023-01-04,Project Management,External,Incomplete,Christinashire,Mark Miller,2,981.06
1674,2022-11-22,Customer Service,Internal,Passed,New William,Brandon Lee,1,293.55
1675,2023-03-07,Technical Skills,Internal,Failed,New Alexanderland,Matthew Robertson,4,904.68
1676,2022-12-07,Project Management,Internal,Failed,Carlland,Michael Patel,5,104.66
1677,2022-12-02,Technical Skills,External,Incomplete,Nicholsonfurt,Juan Hall,2,836.37
1678,2023-04-14,Leadership Development,Internal,Completed,Turnershire,Patricia Smith,1,749.64
1679,2023-03-25,Leadership Development,External,Failed,Lloydborough,Alicia Reed,5,213.06
1680,2022-10-04,Customer Service,Internal,Completed,Wrightburgh,Jennifer Mclaughlin,3,882.76
1681,2022-12-20,Customer Service,External,Failed,Santanastad,Brenda Tyler,1,113.42
1682,2022-09-19,Project Management,External,Failed,South Rhondaburgh,Brittany Munoz,3,284.61
1683,2023-06-28,Project Management,Internal,Failed,Port Amanda,Melissa Carter,1,599.74
1684,2023-06-05,Leadership Development,Internal,Failed,North Amberport,Randall Smith,5,700.99
1685,2023-01-01,Customer Service,Internal,Passed,West Jenniferton,Mr. James Mills,1,650.07
1686,2022-11-11,Communication Skills,External,Completed,West Robert,Paul Cook,2,851.38
1687,2023-02-24,Customer Service,Internal,Failed,Tanyabury,James Brown,4,455.1
1688,2022-12-21,Project Management,Internal,Completed,Brendaside,Paul Harrington,3,880.67
1689,2022-09-15,Customer Service,External,Passed,Moodychester,Tara Ballard,2,712.64
1690,2023-01-21,Communication Skills,Internal,Failed,Moralesport,Daniel Barnett,3,504.34
1691,2022-09-21,Customer Service,External,Failed,South Kellyborough,Michael Williamson,3,120.37
1692,2023-03-08,Project Management,External,Failed,North Madisonberg,Daniel Alvarez,1,705.24
1693,2023-03-10,Project Management,External,Passed,Hodgesmouth,Kim James,5,928.81
1694,2022-08-30,Communication Skills,Internal,Completed,Kaylaburgh,William Moore,5,638.07
1695,2023-01-03,Leadership Development,Internal,Passed,East James,Brittany Fuller,2,913.34
1696,2023-05-29,Project Management,Internal,Completed,Yatesburgh,Dr. Eric Reynolds,1,754.78
1697,2022-10-14,Leadership Development,External,Passed,South Mistychester,Sierra Bishop,4,503.3
1698,2022-11-23,Technical Skills,External,Passed,Dustinville,Shawn Williams,5,218.31
1699,2023-07-24,Customer Service,External,Incomplete,Port Jorge,Derek Wilson,3,730.86
1700,2022-09-19,Customer Service,External,Completed,Andradeport,Dr. Taylor Davis,4,203.34
1701,2023-06-18,Technical Skills,Internal,Passed,South Taylor,Marcus Harris,1,460.53
1702,2023-03-19,Communication Skills,Internal,Completed,Meganport,Madison Rogers,5,733.92
1703,2022-10-06,Customer Service,Internal,Completed,Audreyfort,Lance Steele,2,987.43
1704,2023-05-13,Customer Service,External,Completed,Lake Julia,Sarah Ryan,1,691.32
1705,2022-10-22,Communication Skills,External,Passed,Lake Traceyborough,Evan Davis,1,663.08
1706,2022-09-21,Customer Service,External,Incomplete,Kathleenhaven,Daniel Rivera,1,970.01
1707,2023-05-26,Customer Service,Internal,Passed,Shepherdchester,Jeffrey Williams,3,496.31
1708,2023-06-20,Customer Service,Internal,Incomplete,South Carrie,Matthew Cox,5,640.01
1709,2023-06-03,Technical Skills,External,Failed,South Lance,Stephanie Haney,4,858.8
1710,2022-12-11,Communication Skills,External,Passed,Markville,Sharon Sanchez,2,300.52
1711,2022-09-30,Technical Skills,External,Failed,Lindaland,Melissa Martinez,3,102.19
1712,2023-06-06,Communication Skills,Internal,Completed,Michaelberg,Adam Walters,2,581.16
1713,2023-03-11,Leadership Development,Internal,Incomplete,Clarkeside,Samantha Mcguire,3,752.91
1714,2023-07-24,Project Management,External,Passed,Lake Michael,Gary Smith,3,374.58
1715,2023-02-17,Leadership Development,Internal,Incomplete,North Danielfort,Hector Hinton,3,788.64
1716,2023-02-13,Communication Skills,External,Incomplete,Lake Erica,Leslie Hall,2,234.05
1717,2022-11-05,Customer Service,External,Incomplete,Port Joshua,Anne Holt,1,381.33
1718,2022-12-24,Leadership Development,Internal,Passed,Wellsborough,Wendy Short,3,527.62
1719,2022-09-12,Leadership Development,External,Passed,Butlerchester,Brian Hawkins,3,442.1
1720,2023-01-19,Project Management,Internal,Passed,Scotthaven,Tamara Harris,2,396.81
1721,2023-02-16,Project Management,External,Failed,Kathleenhaven,John Graham,2,730.31
1722,2023-05-14,Technical Skills,External,Incomplete,Stephensburgh,Caleb Strickland,2,128.06
1723,2022-09-25,Technical Skills,External,Passed,Sophiaborough,Andrea Lopez,5,942.63
1724,2023-04-11,Customer Service,Internal,Failed,Fullerstad,Miguel Villarreal,5,733.63
1725,2023-01-16,Customer Service,External,Completed,Cynthiaview,James Mccormick,1,743.28
1726,2022-10-19,Technical Skills,Internal,Completed,Higginsport,Joshua Brewer,4,435.18
1727,2023-02-16,Technical Skills,Internal,Failed,Weaverburgh,Donna Guzman,5,252.22
1728,2022-12-31,Customer Service,External,Completed,Lake Dustin,Joel Thomas,2,103.07
1729,2023-03-22,Technical Skills,Internal,Incomplete,Mollymouth,Jennifer Diaz,2,386.87
1730,2023-03-20,Customer Service,External,Incomplete,East Julie,Joseph Russo,3,718.21
1731,2023-02-27,Customer Service,Internal,Failed,South Jennifer,Travis Cook,1,578.81
1732,2023-07-06,Project Management,Internal,Completed,East Louis,Derrick Wallace,1,562.06
1733,2023-01-08,Leadership Development,External,Incomplete,Lake Danielleport,Tammy King,5,845.86
1734,2023-01-16,Project Management,External,Completed,Samanthatown,Jodi Davis,2,391.39
1735,2023-07-22,Project Management,Internal,Passed,Jonesport,David Harris,1,203.04
1736,2023-03-09,Leadership Development,Internal,Incomplete,West Sarahborough,Michael Lopez,4,717.29
1737,2022-10-17,Leadership Development,External,Incomplete,Atkinsonbury,William Collins,5,719.0
1738,2023-01-09,Customer Service,External,Incomplete,East Sharon,Sean Mckee,5,802.66
1739,2023-07-04,Communication Skills,Internal,Incomplete,East Julie,Lisa Hahn,1,388.07
1740,2023-02-18,Project Management,Internal,Completed,South Donna,Nicole Sanders,2,350.26
1741,2022-11-08,Leadership Development,External,Completed,Chasefurt,Mrs. Sandra Howard DDS,5,625.76
1742,2023-04-19,Communication Skills,External,Incomplete,Port Robert,Kristen Brown,1,206.72
1743,2023-07-13,Project Management,External,Passed,New David,Debra Barton,4,954.37
1744,2022-12-24,Communication Skills,Internal,Failed,Prattview,Scott Kline,4,728.77
1745,2022-09-05,Leadership Development,External,Completed,Simsberg,Mrs. Stephanie Miller,1,996.01
1746,2022-11-18,Communication Skills,Internal,Incomplete,Jonesberg,Lauren Andrews,2,787.19
1747,2023-03-02,Project Management,External,Passed,Ryanshire,Kevin Snow,3,853.43
1748,2023-03-26,Leadership Development,External,Failed,Williamsmouth,Andrea Ball,5,433.03
1749,2023-07-21,Leadership Development,Internal,Incomplete,Burtonton,Joseph Potter,3,148.69
1750,2022-08-20,Project Management,Internal,Incomplete,New Arthur,Maria Gonzalez,1,523.44
1751,2022-12-10,Project Management,External,Incomplete,New Dennisshire,Jose Guzman,5,719.54
1752,2022-10-09,Leadership Development,External,Incomplete,Harrisonshire,John Ramirez,3,560.55
1753,2023-03-18,Customer Service,Internal,Completed,Port Steven,Brett Ortiz,1,711.71
1754,2023-01-30,Project Management,External,Failed,Franciscohaven,John Jones,1,980.65
1755,2022-11-22,Communication Skills,External,Incomplete,Curryberg,Melissa Whitehead,2,367.76
1756,2023-04-22,Communication Skills,Internal,Failed,Laurieville,Jared Spence,1,849.36
1757,2022-12-31,Technical Skills,Internal,Incomplete,Port Brittanyton,Barbara Cochran,5,305.05
1758,2023-05-14,Customer Service,Internal,Completed,North Patricia,Robert Campbell,5,296.24
1759,2022-10-21,Project Management,Internal,Completed,Clarkview,Rachel Phillips,4,220.06
1760,2023-01-20,Technical Skills,External,Passed,Brownchester,Glenn Jimenez,3,378.51
1761,2022-11-07,Technical Skills,External,Completed,New Eric,Denise Guzman,4,905.6
1762,2022-09-02,Customer Service,External,Incomplete,South Raymondchester,Christopher Griffin,3,669.57
1763,2023-03-02,Leadership Development,External,Completed,Joneston,Amanda Hughes,2,723.9
1764,2023-05-07,Communication Skills,Internal,Passed,Port Joshua,Anna Mitchell,1,834.44
1765,2023-08-04,Leadership Development,External,Incomplete,Williamsmouth,William Johnson,1,393.88
1766,2023-07-07,Customer Service,External,Incomplete,Greenestad,Patrick Gray,3,637.61
1767,2022-10-25,Project Management,External,Passed,Riverastad,Scott Everett,3,902.11
1768,2022-09-30,Leadership Development,External,Passed,Lake Tyler,Amanda Nelson,1,999.79
1769,2023-03-27,Leadership Development,Internal,Passed,New Jamesville,Stephanie Good DVM,1,976.58
1770,2022-09-04,Customer Service,External,Incomplete,West David,Natalie Ross,2,257.2
1771,2023-02-27,Technical Skills,External,Incomplete,New Kevinfurt,Randy Wilson,2,991.1
1772,2022-08-20,Technical Skills,External,Passed,Port Paul,Lydia Campbell,2,205.64
1773,2022-12-30,Leadership Development,Internal,Passed,Moorechester,Aaron Hubbard,2,817.45
1774,2023-06-08,Customer Service,External,Failed,Johnhaven,Jacob Wilson,5,643.22
1775,2023-05-08,Project Management,Internal,Failed,Port David,Brianna Williams,4,795.28
1776,2022-09-07,Project Management,Internal,Failed,South Madison,Roy Johnson,2,521.69
1777,2023-04-24,Customer Service,External,Incomplete,Greenehaven,Daniel Barton,3,157.78
1778,2022-09-01,Project Management,External,Passed,Lake James,Holly Roth,3,803.94
1779,2022-11-27,Project Management,Internal,Passed,Lake Donna,Gabriela Rodriguez,3,188.56
1780,2023-03-25,Technical Skills,External,Passed,Brooksport,Brandy Conway,2,663.72
1781,2023-07-04,Technical Skills,External,Failed,Carlahaven,Frank Perez,4,892.3
1782,2022-12-21,Communication Skills,Internal,Passed,Bullockton,Ashley Rodriguez,3,560.35
1783,2022-12-24,Technical Skills,External,Passed,Ramosport,Justin Frazier,2,595.5
1784,2022-11-17,Communication Skills,External,Passed,East Jacob,Ashlee Conley,2,242.18
1785,2023-01-07,Project Management,Internal,Failed,Cindyfurt,Brandon Fox,5,104.95
1786,2023-04-23,Communication Skills,External,Completed,South Heather,Casey Armstrong,2,942.28
1787,2022-08-31,Project Management,Internal,Passed,South Michaelstad,Steven Villa,2,756.7
1788,2022-12-23,Leadership Development,Internal,Completed,Younghaven,Rhonda Ramirez,4,290.99
1789,2023-01-08,Leadership Development,External,Incomplete,Lake Markport,Lisa Harrison,2,700.97
1790,2022-08-19,Communication Skills,Internal,Incomplete,Sandersside,Kristin Watson,4,631.98
1791,2022-11-26,Project Management,Internal,Failed,Ronniefurt,Jonathan Perry,5,282.85
1792,2022-11-29,Technical Skills,Internal,Completed,New Kathryn,Barbara Parker,1,412.58
1793,2023-02-28,Communication Skills,External,Passed,Hufffort,Antonio Baker,1,943.91
1794,2022-10-31,Leadership Development,Internal,Completed,East Laura,Susan Murphy,3,208.13
1795,2023-02-24,Leadership Development,External,Passed,Anthonymouth,Jennifer Peterson,2,145.47
1796,2022-10-27,Customer Service,External,Failed,Genetown,Lindsay Adams,1,727.51
1797,2022-12-24,Project Management,External,Failed,North Johnview,Kathy Myers DDS,5,581.43
1798,2022-12-11,Communication Skills,Internal,Incomplete,South Shirley,Kayla Schwartz,1,725.94
1799,2022-10-27,Technical Skills,Internal,Passed,Port Gregory,Marc Price,1,338.36
1800,2023-04-17,Technical Skills,External,Failed,Masonborough,Adam Luna,1,732.84
1801,2023-06-22,Technical Skills,External,Incomplete,West Matthew,William Alvarez,1,753.69
1802,2023-07-16,Customer Service,Internal,Failed,Port Katherine,Dr. Reginald Chavez,5,131.92
1803,2022-09-20,Leadership Development,External,Passed,Lake Benjamin,Steven Scott PhD,4,550.55
1804,2022-08-22,Customer Service,Internal,Failed,Lake Racheltown,Rebecca Olson,1,767.49
1805,2023-02-11,Communication Skills,Internal,Incomplete,Burnsfort,Randall Guzman,5,222.88
1806,2023-07-27,Communication Skills,Internal,Passed,West Michaelhaven,Isaac Baker,3,176.2
1807,2023-03-07,Technical Skills,External,Incomplete,Port Gary,April Nelson,5,794.61
1808,2022-10-12,Customer Service,External,Passed,Sparksshire,Michael Frazier,1,147.08
1809,2022-08-15,Communication Skills,Internal,Incomplete,East Jenniferchester,James Kelley,5,488.94
1810,2023-02-22,Project Management,External,Failed,West Jimmy,Jessica Moses,1,603.57
1811,2023-07-25,Customer Service,External,Incomplete,Jameschester,Douglas Brown,3,819.87
1812,2023-03-04,Leadership Development,Internal,Incomplete,West Craig,Christopher Gibson,2,836.19
1813,2022-11-05,Project Management,External,Passed,Christophermouth,Rachel Barnes,5,879.94
1814,2023-06-04,Customer Service,Internal,Failed,West Destiny,Brad Williams,3,532.3
1815,2022-10-03,Leadership Development,External,Incomplete,New Kimberlyport,Christopher George,5,758.21
1816,2023-06-05,Communication Skills,Internal,Incomplete,Tylermouth,Melissa Chambers,2,253.51
1817,2022-08-20,Leadership Development,Internal,Completed,Cherylland,Krista Fields,3,375.86
1818,2023-03-20,Leadership Development,External,Incomplete,New Marie,Cody Murray,5,909.47
1819,2022-10-19,Customer Service,Internal,Passed,South Amy,Eric Weiss,3,649.51
1820,2023-06-30,Customer Service,Internal,Failed,Richview,David Henson,1,742.26
1821,2022-10-12,Communication Skills,Internal,Passed,Moranburgh,Virginia Small,4,713.84
1822,2023-07-29,Project Management,External,Incomplete,Wigginsland,Tony Long,1,999.06
1823,2023-07-10,Leadership Development,Internal,Completed,Michelleland,Shirley Ali,4,977.99
1824,2022-09-16,Leadership Development,External,Completed,Katherineside,Jessica Spencer,5,136.33
1825,2022-08-05,Technical Skills,External,Completed,North Robertside,Robert Weaver,4,946.67
1826,2023-07-24,Technical Skills,External,Passed,New Melissa,Lauren Malone,4,485.39
1827,2023-04-28,Communication Skills,External,Incomplete,Weavermouth,Jesse Flores,5,962.02
1828,2023-05-29,Technical Skills,External,Failed,Olsonborough,Stephanie Mullins,1,620.24
1829,2023-04-21,Customer Service,External,Completed,East Jasmineview,Jennifer Miller,4,333.8
1830,2023-03-29,Leadership Development,External,Passed,Knappfurt,Calvin Smith,3,764.21
1831,2022-12-11,Project Management,Internal,Failed,East Jenna,Randall Donaldson,3,756.42
1832,2023-07-30,Customer Service,Internal,Failed,Brennanborough,Kevin Gibson,2,716.62
1833,2023-03-26,Technical Skills,Internal,Failed,New Davidfort,Patrick Gomez,2,712.9
1834,2023-03-11,Technical Skills,Internal,Incomplete,Port Alicemouth,Gregory Kline,1,845.82
1835,2023-03-01,Communication Skills,Internal,Passed,New Aaron,Vanessa Villarreal,4,727.9
1836,2023-07-21,Project Management,Internal,Incomplete,North Brad,Rachel Daniels,1,760.41
1837,2023-07-25,Project Management,Internal,Incomplete,Lake Tashaside,Andrew Velazquez,5,567.74
1838,2023-01-14,Communication Skills,External,Incomplete,Collinsshire,Kimberly Richardson,5,582.7
1839,2022-08-16,Leadership Development,External,Incomplete,West Nicole,Jacqueline Kelly,2,645.16
1840,2023-03-07,Project Management,External,Passed,Port Dawnland,Steven Lewis,5,310.44
1841,2022-08-13,Communication Skills,External,Failed,Michellefurt,Cody Moses DDS,4,683.42
1842,2023-07-19,Communication Skills,Internal,Completed,Jacksontown,Jenna Parks,3,129.49
1843,2022-11-11,Project Management,External,Incomplete,Ashleyburgh,Shawn Harris,5,349.46
1844,2022-08-19,Project Management,Internal,Failed,Daniellemouth,John Santos,5,668.2
1845,2022-12-31,Customer Service,External,Passed,Natashaburgh,Christopher Rowe,5,409.99
1846,2023-04-25,Communication Skills,Internal,Passed,Torresstad,Abigail Underwood,4,964.4
1847,2023-02-14,Leadership Development,External,Completed,Lake Jonathanville,Marissa Parker,1,777.95
1848,2023-02-15,Communication Skills,Internal,Completed,Jonesshire,Philip Smith,5,816.07
1849,2023-06-04,Leadership Development,External,Passed,New Jefferyfort,Brian Lee,4,332.12
1850,2023-05-02,Communication Skills,Internal,Completed,Briannamouth,Gabrielle Matthews,1,950.45
1851,2022-09-04,Communication Skills,External,Passed,Michaelview,Cody Daugherty,4,997.13
1852,2022-10-16,Customer Service,Internal,Completed,Douglaschester,Matthew Goodman,1,917.56
1853,2022-08-10,Project Management,External,Failed,Wesleyton,Noah Herrera,4,220.2
1854,2023-05-18,Technical Skills,External,Failed,Mcmahonview,Pedro Rodriguez,1,837.64
1855,2022-08-30,Technical Skills,External,Incomplete,South Matthewburgh,Andrew Gross,2,648.72
1856,2023-07-04,Leadership Development,External,Failed,West Kimberly,Natalie Skinner,4,687.77
1857,2023-06-14,Project Management,External,Incomplete,Port Christopher,Miss Jamie Miller,5,278.62
1858,2022-12-16,Technical Skills,External,Failed,South Sonyahaven,Todd Clark,5,568.57
1859,2022-10-07,Technical Skills,Internal,Completed,Austinstad,Nancy Taylor,4,764.64
1860,2022-08-20,Project Management,External,Passed,East Davidbury,Paul Farrell,3,551.45
1861,2023-06-18,Customer Service,Internal,Completed,Thompsonland,Bryan Reed,2,849.52
1862,2022-12-21,Communication Skills,Internal,Incomplete,New Chelsea,Juan Meyer,1,180.61
1863,2023-06-21,Communication Skills,Internal,Passed,East Richard,Norman Chapman,3,559.52
1864,2022-08-06,Project Management,Internal,Completed,South Waltershire,Laurie Miller,4,850.57
1865,2022-11-13,Project Management,Internal,Completed,Helenville,Kimberly Reed,3,802.75
1866,2023-04-22,Customer Service,External,Completed,Port Brandyview,Zachary Chandler,3,587.63
1867,2023-05-04,Project Management,External,Passed,Jonesberg,John Reid,3,114.45
1868,2023-03-27,Leadership Development,Internal,Completed,West Dylan,Tracy Davis,4,599.79
1869,2022-12-23,Customer Service,Internal,Failed,Carmenstad,Robert Lee,3,280.46
1870,2022-12-25,Communication Skills,External,Incomplete,North Wendyfurt,Yvonne Anderson,3,969.98
1871,2023-07-03,Customer Service,Internal,Failed,North Jamesborough,Ronald Chang,4,643.07
